Year,Loc,Tot.Delays,Tot.Avg.Min,Tot.Tot.Min,Weather.Delays,Weather.Avg.Min,Weather.Tot.Min,Vol.Delays,Vol.Avg.Min,Vol.Tot.Min,Equip.Delays,Equip.Avg.Min,Equip.Tot.Min,Runway.Delays,Runway.Avg.Min,Runway.Tot.Min,Other.Delays,Other.Avg.Min,Other.Tot.Min
2015,ATL,8433,48,404149,6789,54,365547,1199,22,26324,40,23,932,199,21,4103,206,35,7243
2015,BOS,7948,48,383333,7531,50,373761,162,22,3527,0,0,0,182,22,4094,73,27,1951
2015,BWI,1076,41,43905,405,67,27132,146,23,3357,13,43,562,450,22,9798,62,49,3056
2015,CLT,4498,31,141200,1591,46,72820,2480,21,52079,16,21,337,278,30,8405,133,57,7559
2015,DCA,6397,35,223781,3287,46,151686,2678,21,55913,18,37,671,37,23,854,377,39,14657
2015,DEN,4213,55,233018,3778,58,217477,208,32,6644,0,0,0,214,40,8463,13,33,434
2015,DFW,4247,53,223891,2880,69,198578,794,18,14473,52,20,1034,475,19,8829,46,21,977
2015,DTW,2034,38,76728,1255,45,57012,414,23,9615,7,21,147,284,30,8612,74,18,1342
2015,EWR,17985,63,1128620,14433,72,1036073,2844,24,67403,36,55,1967,215,21,4413,457,41,18764
2015,FLL,202,37,7487,93,26,2418,24,19,455,0,0,0,65,44,2883,20,87,1731
2015,HNL,79,27,2138,18,35,637,29,24,705,0,0,0,12,23,281,20,26,515
2015,IAD,929,35,32853,462,43,20064,179,22,3989,0,0,0,238,23,5471,50,67,3329
2015,IAH,4273,60,257969,3827,65,248828,210,22,4636,7,27,187,113,19,2183,116,18,2135
2015,JFK,17620,58,1028537,10444,68,713877,2346,26,60819,114,53,6063,4169,55,228830,547,35,18948
2015,LAS,4722,41,192356,2252,56,127177,1397,28,38691,111,22,2436,594,22,13136,368,30,10916
2015,LAX,15630,37,584364,2057,56,116206,2893,21,61220,6,19,114,10140,39,390629,534,30,16195
2015,LGA,36148,50,1802435,19330,70,1345989,15537,26,396624,4,35,139,1037,48,49866,240,41,9817
2015,MCO,152,47,7101,121,52,6311,31,25,790,0,0,0,0,0,0,0,0,0
2015,MDW,968,53,51237,681,59,39967,188,26,4915,3,17,52,18,19,342,78,76,5961
2015,MEM,240,47,11327,194,51,9873,11,30,331,35,32,1123,0,0,0,0,0,0
2015,MIA,2250,22,50177,734,27,19515,1325,20,25943,43,24,1033,50,22,1104,98,26,2582
2015,MSP,5514,37,202027,2740,40,110938,2619,33,86147,0,0,0,10,27,274,145,32,4668
2015,ORD,19744,62,1220514,13653,80,1086586,3916,20,78157,132,25,3285,889,27,23622,1154,25,28864
2015,PHL,13645,58,793218,11530,64,741405,1779,23,40746,6,43,255,52,20,1034,278,35,9778
2015,PHX,3404,37,126927,1239,64,79822,1923,20,38554,3,31,93,109,23,2536,130,46,5922
2015,SAN,568,36,20386,146,36,5310,298,29,8584,0,0,0,41,27,1089,83,65,5403
2015,SEA,2566,43,111421,1873,47,87816,177,22,3974,0,0,0,487,38,18592,29,36,1039
2015,SFO,18957,56,1061735,16935,59,1007137,1031,20,20776,32,60,1906,326,48,15775,633,25,16141
2015,SLC,60,25,1508,32,27,848,18,21,370,0,0,0,8,28,225,2,33,65
2015,TPA,90,57,5124,83,59,4933,6,25,152,0,0,0,0,0,0,1,39,39
Sub-Total for 2015,,204592,51,10429466,130393,63,8275743,46862,24,1115913,678,33,22336,20692,39,815443,5967,34,200031
2016,ATL,5672,44,249286,4363,50,219676,1029,23,23287,0,0,0,195,22,4213,85,25,2110
2016,BOS,7892,52,411954,6004,53,318869,98,28,2697,0,0,0,1721,51,88255,69,31,2133
2016,BWI,461,63,29118,246,90,22090,113,26,2902,0,0,0,34,27,929,68,47,3197
2016,CLT,3938,34,135125,1774,50,88590,1972,22,42599,7,15,105,83,22,1854,102,19,1977
2016,DCA,6407,37,238420,3225,54,174871,2976,20,58903,7,25,175,43,21,915,156,23,3556
2016,DEN,2306,51,118417,2264,52,117266,36,29,1037,0,0,0,1,17,17,5,19,97
2016,DFW,7484,56,421258,4952,74,365806,1730,21,36230,107,45,4831,556,21,11542,139,20,2849
2016,DTW,1361,58,79381,1045,70,72712,149,20,3028,36,27,973,83,19,1598,48,22,1070
2016,EWR,21594,67,1456811,19339,72,1390919,1892,26,49775,43,22,944,20,18,362,300,49,14811
2016,FLL,640,34,21730,504,37,18647,49,21,1037,5,38,189,44,25,1091,38,20,766
2016,HNL,18,28,501,0,0,0,3,27,80,0,0,0,3,20,60,12,30,361
2016,IAD,814,56,45846,625,66,41478,155,23,3545,0,0,0,28,25,699,6,21,124
2016,IAH,3724,70,262068,3538,73,258407,104,21,2165,0,0,0,35,17,607,47,19,889
