Facility,Date,Year,Wx,Vol,Eqpt,Rwy,Other,Other,Other,Total
ATL,2015-01-01,2015,4,1,0,0,1,0,0,6
ATL,2015-02-01,2015,8,10,0,0,2,1,7,28
ATL,2015-03-01,2015,9,1,0,0,1,5,0,16
ATL,2015-04-01,2015,10,0,0,1,0,0,0,11
ATL,2015-05-01,2015,10,1,0,0,0,0,1,12
ATL,2015-06-01,2015,25,2,0,0,0,0,2,29
ATL,2015-07-01,2015,15,1,0,0,6,0,2,24
ATL,2015-08-01,2015,9,12,6,0,0,1,1,29
ATL,2015-09-01,2015,4,1,0,0,0,0,0,5
ATL,2015-10-01,2015,1,1,0,0,0,1,1,4
ATL,2015-11-01,2015,6,1,0,0,0,0,1,8
ATL,2015-12-01,2015,5,0,0,0,0,0,0,5
ATL,2016-01-01,2016,1,2,0,0,0,4,2,9
ATL,2016-02-01,2016,3,3,0,0,0,0,2,8
ATL,2016-03-01,2016,0,2,0,0,1,0,0,3
ATL,2016-04-01,2016,7,4,0,0,0,0,0,11
ATL,2016-05-01,2016,4,0,0,0,0,0,0,4
ATL,2016-06-01,2016,6,4,0,1,1,0,3,15
ATL,2016-07-01,2016,22,8,0,0,1,0,2,33
ATL,2016-08-01,2016,11,1,0,0,0,1,1,14
ATL,2016-09-01,2016,2,0,0,0,0,0,0,2
ATL,2016-10-01,2016,0,0,0,0,0,0,0,0
ATL,2016-11-01,2016,1,0,0,0,0,0,0,1
ATL,2016-12-01,2016,2,1,0,0,0,0,1,4
ATL,2017-01-01,2017,12,1,0,0,3,0,2,18
ATL,2017-02-01,2017,1,1,0,0,0,0,1,3
ATL,2017-03-01,2017,2,1,0,0,0,0,0,3
ATL,2017-04-01,2017,39,17,0,0,0,17,4,77
ATL,2017-05-01,2017,5,6,0,0,0,1,0,12
ATL,2017-06-01,2017,21,8,0,4,0,2,2,37
ATL,2017-07-01,2017,11,3,3,4,0,0,3,24
ATL,2017-08-01,2017,13,6,0,0,1,0,1,21
ATL,2017-09-01,2017,2,3,0,0,0,0,5,10
ATL,2017-10-01,2017,3,0,0,0,0,0,0,3
ATL,2017-11-01,2017,0,0,0,0,0,0,0,0
ATL,2017-12-01,2017,7,93,0,0,206,198,20,524
ATL,2018-01-01,2018,33,5,0,1,0,4,26,69
ATL,2018-02-01,2018,8,4,0,0,0,1,2,15
ATL,2018-03-01,2018,0,0,0,0,0,0,0,0
ATL,2018-04-01,2018,5,3,0,0,0,0,0,8
ATL,2018-05-01,2018,9,4,0,0,0,2,0,15
ATL,2018-06-01,2018,33,4,0,0,9,0,6,52
ATL,2018-07-01,2018,70,15,0,0,1,0,0,86
ATL,2018-08-01,2018,66,20,0,0,0,0,0,86
ATL,2018-09-01,2018,14,7,0,0,0,8,0,29
ATL,2018-10-01,2018,6,2,0,1,0,0,0,9
ATL,2018-11-01,2018,4,3,0,0,0,0,2,9
ATL,2018-12-01,2018,2,0,0,0,0,1,1,4
ATL,2019-01-01,2019,13,8,0,0,1,7,1,30
ATL,2019-02-01,2019,17,2,1,0,1,0,0,21
ATL,2019-03-01,2019,1,2,0,0,0,1,1,5
ATL,2019-04-01,2019,9,0,0,0,0,0,0,9
ATL,2019-05-01,2019,12,4,0,0,1,1,0,18
ATL,2019-06-01,2019,29,10,1,4,4,0,2,50
ATL,2019-07-01,2019,37,12,0,0,3,1,1,54
ATL,2019-08-01,2019,30,5,0,1,1,0,1,38
ATL,2019-09-01,2019,9,0,0,4,0,1,0,14
ATL,2019-10-01,2019,1,2,0,3,0,0,0,6
ATL,2019-11-01,2019,4,1,0,0,0,0,0,5
ATL,2019-12-01,2019,6,2,0,0,0,0,2,10
ATL,2020-01-01,2020,6,0,0,0,0,1,1,8
ATL,2020-02-01,2020,10,2,0,0,0,0,0,12
